id,year,bankname,w1,w2,w3,y1,y2,CHHI,THHI,esg,mesg,mdesg,mmesg,t,lnw2,lnw3,lny1,lny2,lnw2_lnw3,lnw2_lny1,lnw2_lny2,lnw3_lny1,lnw3_lny2,lny1_lny2,_t,_t_lnw2,_t_lnw3,_t_lny1,_t_lny2,_t_2,lnw2_2,lnw3_2,lny1_2,lny2_2,mw1,CHHI_esg,THHI_esg,CHHI_mesg,THHI_mesg,CHHI_mdesg,THHI_mdesg,CHHI_mmesg,THHI_mmesg,msize_THHI,mTHHI,mTHHI_mdesg
4,2015,交通银行,0.550751,0.003554,0.022494,2.30E+12,3.70E+12,1.59,11.51,79.94,0,0,0,3,-0.22646307,0.05953505,0.36059442,0.3746538,-0.00674125,-0.04083066,-0.04242263,0.010734,0.01115252,0.06754903,-2.5,0.28307884,-0.07441881,-0.45074302,-0.46831725,3.125,0.02564276,0.00177221,0.06501417,0.07018274,0.59647248,127.1046,920.1094,0,0,0,0,0,0,14.621,-3.111,0
4,2016,交通银行,0.373502,0.003099,0.018442,3.10E+12,4.10E+12,3.02,12.72,81.12,1,1,0,4,-0.36345733,-0.13908288,0.6590874,0.47730796,0.02527535,-0.11977507,-0.08674054,-0.04583389,-0.03319268,0.15729383,-1.5,0.27259299,0.10431216,-0.49431555,-0.35798097,1.125,0.06605061,0.00967202,0.2171981,0.11391144,0.98483192,244.9824,1031.8464,3.02,12.72,3.02,12.72,0,0,14.621,-1.901,-1.901
4,2017,交通银行,0.312336,0.003119,0.020947,3.40E+12,4.60E+12,2.63,12.9,79.68,0,0,0,5,-0.35702437,-0.01171812,0.75146072,0.59237729,0.00209183,-0.13414489,-0.10574656,-0.00440285,-0.00347077,0.22257413,-0.5,0.08925609,0.00292953,-0.18786518,-0.14809432,0.125,0.0637332,0.00006866,0.28234661,0.17545542,1.1636757,209.5584,1027.872,0,0,0,0,0,0,14.621,-1.721,0
4,2018,交通银行,0.308136,0.003097,0.022868,3.70E+12,4.90E+12,3.6,16.64,74.59,0,0,0,6,-0.3641029,0.076025,0.83601811,0.65555619,-0.01384046,-0.15219831,-0.11934496,0.03177914,0.02491933,0.27402842,0.5,-0.09102573,0.01900625,0.20900453,0.16388905,0.125,0.06628546,0.0028899,0.34946314,0.21487696,1.177214,268.524,1241.1776,0,0,0,0,0,0,14.621,2.019,0
4,2019,交通银行,0.280841,0.003324,0.02255,3.70E+12,5.30E+12,4.08,17.02,77.76,0,0,0,7,-0.29336793,0.06202151,0.83601811,0.7340278,-0.00909756,-0.12263045,-0.10767011,0.02592555,0.02276276,0.30683027,1.5,-0.22002595,0.04651613,0.62701358,0.55052085,1.125,0.04303237,0.00192333,0.34946314,0.26939841,1.2699666,317.2608,1323.4752,0,0,0,0,0,0,14.621,2.399,0
4,2020,交通银行,0.292439,0.003035,0.020169,3.90E+12,5.90E+12,3.71,15.75,77.85,0,0,0,8,-0.38432538,-0.04956678,0.88866185,0.84127333,0.00952489,-0.17076765,-0.16166135,-0.02202406,-0.02084961,0.37380376,2.5,-0.48040672,-0.06195848,1.1108273,1.0515917,3.125,0.073853,0.00122843,0.39485994,0.35387041,1.2294992,288.8235,1226.1375,0,0,0,0,0,0,14.621,1.129,0
4,2021,交通银行,0.31087,0.003157,0.018512,4.20E+12,6.60E+12,3.21,15.98,85.23,1,1,1,9,-0.34491459,-0.13529439,0.96276982,0.95339063,0.0233325,-0.16603668,-0.16441917,-0.06512868,-0.0644942,0.45894786,3.5,-0.60360054,-0.23676518,1.6848472,1.6684336,6.125,0.05948304,0.00915229,0.46346286,0.45447685,1.1683805,273.5883,1361.9754,3.21,15.98,3.21,15.98,3.21,15.98,14.621,1.359,1.359
4,2022,交通银行,0.27971,0.003026,0.019102,4.70E+12,7.30E+12,4.56,18.56,85.5,1,1,1,10,-0.38729519,-0.10392052,1.0752478,1.0541953,0.02012396,-0.20821915,-0.20414239,-0.05587015,-0.05477626,0.56676061,4.5,-0.87141418,-0.23382116,2.4193076,2.3719395,10.125,0.07499878,0.00539974,0.57807892,0.5556639,1.2740019,389.88,1586.88,4.56,18.56,4.56,18.56,4.56,18.56,14.621,3.939,3.939
5,2013,光大银行,1.17056,0.00484,0.028662,8.60E+11,1.20E+12,3.7,18.92,84.85,1,1,1,1,0.08237792,0.30185865,-0.6231376,-0.75135746,0.01243324,-0.02566639,-0.03094763,-0.09404974,-0.11340187,0.23409954,-4.5,-0.18535031,-0.67918196,1.4020596,1.6905543,10.125,0.00339306,0.04555932,0.19415023,0.28226902,-0.15748227,313.945,1605.362,3.7,18.92,3.7,18.92,3.7,18.92,11.8,7.12,7.12
5,2014,光大银行,1.2991,0.004881,0.027646,1.10E+12,1.30E+12,3.05,15.19,81.45,1,1,0,2,0.09081331,0.2657675,-0.37700453,-0.67131475,0.01206761,-0.01711851,-0.03048216,-0.05009777,-0.08920682,0.12654435,-3.5,-0.1589233,-0.46509312,0.65975792,1.1748008,6.125,0.00412353,0.03531618,0.07106621,0.22533175,-0.26167172,248.4225,1237.2255,3.05,15.19,3.05,15.19,0,0,11.8,3.39,3.39
5,2015,光大银行,1.43018,0.004504,0.023818,1.30E+12,1.60E+12,2.38,11.86,78.52,0,0,0,3,0.01042909,0.11672804,-0.20995044,-0.46367539,0.00060868,-0.0010948,-0.00241786,-0.01225355,-0.02706196,0.04867443,-2.5,-0.01303636,-0.14591005,0.26243805,0.57959424,3.125,0.00005438,0.00681272,0.02203959,0.10749743,-0.35780031,186.8776,931.2472,0,0,0,0,0,0,11.8,0.06,0
5,2016,光大银行,1.06009,0.003774,0.019443,1.80E+12,1.90E+12,2.37,14.62,80.89,1,1,0,4,-0.16640136,-0.08622645,0.11547196,-0.29182513,0.0071741,-0.00960735,0.02428005,-0.00497837,0.01258152,-0.01684881,-1.5,0.12480102,0.06466984,-0.08660397,0.21886885,1.125,0.01384471,0.0037175,0.00666689,0.04258095,-0.05835381,191.7093,1182.6118,2.37,14.62,2.37,14.62,0,0,11.8,2.82,2.82
5,2017,光大银行,1.01299,0.003835,0.024312,1.60E+12,2.10E+12,1.29,10,81.04,1,1,0,5,-0.15036737,0.1372565,-0.00231108,-0.19174167,-0.01031945,0.00017376,0.01441585,-0.00015861,-0.0131589,0.00022156,-0.5,0.03759184,-0.03431412,0.00057777,0.04793542,0.125,0.01130517,0.00941967,2.67E-06,0.01838243,-0.01290635,104.5416,810.4,1.29,10,1.29,10,0,0,11.8,-1.8,-1.8
5,2018,光大银行,0.923031,0.003871,0.024677,1.50E+12,2.50E+12,2.12,11.88,75.19,0,0,0,6,-0.14102393,0.15215808,-0.0668496,-0.01738829,-0.01072897,0.0047137,0.00122608,-0.00508585,-0.00132288,0.0005812,0.5,-0.03525598,0.03803952,-0.0167124,-0.00434707,0.125,0.00994387,0.01157604,0.00223443,0.00015118,0.08009246,159.4028,893.2572,0,0,0,0,0,0,11.8,0.08,0
5,2019,光大银行,1.03547,0.003887,0.022843,1.60E+12,2.80E+12,1.86,10.91,74.03,0,0,0,7,-0.13689915,0.07493117,-0.00231108,0.0959404,-0.00512901,0.00015819,-0.00656708,-0.00008659,0.00359446,-0.00011086,1.5,-0.10267436,0.05619838,-0.00173331,0.0719553,1.125,0.00937069,0.00280734,2.67E-06,0.00460228,-0.03485543,137.6958,807.6673,0,0,0,0,0,0,11.8,-0.89,0
